time_point,gene,column,row,value
13h,PA14_37530,1,3,440987
13h,PA14_37530,2,3,1644087
13h,PA14_37530,1,3,0
13h,PA14_37530,2,3,744134
13h,PA14_37530,1,3,898490
13h,PA14_37530,2,3,1540058
13h,PA14_37530,1,3,369126
13h,PA14_37530,2,3,1668864
19h,PA14_37530,1,3,2445766
19h,PA14_37530,2,3,2191835
19h,PA14_37530,1,3,2295585
19h,PA14_37530,2,3,2251422
19h,PA14_37530,1,3,2216836
19h,PA14_37530,2,3,2155767
19h,PA14_37530,1,3,2525058
19h,PA14_37530,2,3,2207039
39h,PA14_37530,1,3,4299032
39h,PA14_37530,2,3,3666234
39h,PA14_37530,1,3,4386366
39h,PA14_37530,2,3,3951453
39h,PA14_37530,1,3,3910314
39h,PA14_37530,2,3,3717743
39h,PA14_37530,1,3,4406251
39h,PA14_37530,2,3,3734420
44h,PA14_37530,1,3,5563301
44h,PA14_37530,2,3,4181885
44h,PA14_37530,1,3,5369403
44h,PA14_37530,2,3,4684492
44h,PA14_37530,1,3,5268838
44h,PA14_37530,2,3,4405379
44h,PA14_37530,1,3,4979373
44h,PA14_37530,2,3,4278453
69h,PA14_37530,1,3,8958577
69h,PA14_37530,2,3,6855242
69h,PA14_37530,1,3,8866994
69h,PA14_37530,2,3,7514088
69h,PA14_37530,1,3,8379396
69h,PA14_37530,2,3,6834573
69h,PA14_37530,1,3,8619328
69h,PA14_37530,2,3,6842387
89h,PA14_37530,1,3,10857878
89h,PA14_37530,2,3,8351559
89h,PA14_37530,1,3,10670031
89h,PA14_37530,2,3,9049703
89h,PA14_37530,1,3,9556826
89h,PA14_37530,2,3,8338936
89h,PA14_37530,1,3,9687813
89h,PA14_37530,2,3,7790344
13h,PA14_66480,1,5,948255
13h,PA14_66480,2,5,620564
13h,PA14_66480,4,9,631127
13h,PA14_66480,1,5,349892
13h,PA14_66480,2,5,536049
13h,PA14_66480,4,9,547745
13h,PA14_66480,1,5,1000738
13h,PA14_66480,2,5,566240
13h,PA14_66480,4,9,551115
13h,PA14_66480,1,5,1086360
13h,PA14_66480,2,5,516802
13h,PA14_66480,4,9,1592012
19h,PA14_66480,1,5,2389846
19h,PA14_66480,2,5,2084302
19h,PA14_66480,4,9,1941776
19h,PA14_66480,1,5,2663001
19h,PA14_66480,2,5,2124639
19h,PA14_66480,4,9,1946491
19h,PA14_66480,1,5,2300504
19h,PA14_66480,2,5,2160153
19h,PA14_66480,4,9,1990314
19h,PA14_66480,1,5,2513114
19h,PA14_66480,2,5,2207630
19h,PA14_66480,4,9,1978996
39h,PA14_66480,1,5,4114164
39h,PA14_66480,2,5,3560547
39h,PA14_66480,4,9,3387205
39h,PA14_66480,1,5,4350307
39h,PA14_66480,2,5,3609452
39h,PA14_66480,4,9,3476362
39h,PA14_66480,1,5,3993040
39h,PA14_66480,2,5,3686493
39h,PA14_66480,4,9,3529353
39h,PA14_66480,1,5,4382662
39h,PA14_66480,2,5,3775588
39h,PA14_66480,4,9,3498893
44h,PA14_66480,1,5,5344050
44h,PA14_66480,2,5,4004717
44h,PA14_66480,4,9,3855420
44h,PA14_66480,1,5,4767988
44h,PA14_66480,2,5,4221418
44h,PA14_66480,4,9,3929413
44h,PA14_66480,1,5,4544089
44h,PA14_66480,2,5,4192729
44h,PA14_66480,4,9,3982971
44h,PA14_66480,1,5,4910881
44h,PA14_66480,2,5,4192285
44h,PA14_66480,4,9,4002145
69h,PA14_66480,1,5,8622933
69h,PA14_66480,2,5,6463778
69h,PA14_66480,4,9,5463860
69h,PA14_66480,1,5,9111071
69h,PA14_66480,2,5,6835467
69h,PA14_66480,4,9,6106415
69h,PA14_66480,1,5,8006971
69h,PA14_66480,2,5,6287871
69h,PA14_66480,4,9,5527791
69h,PA14_66480,1,5,8486713
69h,PA14_66480,2,5,6354426
69h,PA14_66480,4,9,5576533
89h,PA14_66480,1,5,10333316
89h,PA14_66480,2,5,7790346
89h,PA14_66480,4,9,6444308
89h,PA14_66480,1,5,10777675
89h,PA14_66480,2,5,8135087
89h,PA14_66480,4,9,7362264
89h,PA14_66480,1,5,9592362
89h,PA14_66480,2,5,7710495
89h,PA14_66480,4,9,6533909
89h,PA14_66480,1,5,9938787
89h,PA14_66480,2,5,7530497
89h,PA14_66480,4,9,6444124
13h,PA14_01720,1,7,6630
13h,PA14_01720,2,7,733147
13h,PA14_01720,13,9,1484542
13h,PA14_01720,1,7,351358
13h,PA14_01720,2,7,568109
13h,PA14_01720,13,9,877360
13h,PA14_01720,1,7,1428345
13h,PA14_01720,2,7,586376
13h,PA14_01720,13,9,1492070
13h,PA14_01720,1,7,19380
13h,PA14_01720,2,7,604061
13h,PA14_01720,13,9,1574299
19h,PA14_01720,1,7,2368683
19h,PA14_01720,2,7,2110038
19h,PA14_01720,13,9,1889398
19h,PA14_01720,1,7,2568552
19h,PA14_01720,2,7,2101779
19h,PA14_01720,13,9,1964097
19h,PA14_01720,1,7,2344217
19h,PA14_01720,2,7,2106594
19h,PA14_01720,13,9,1929519
19h,PA14_01720,1,7,2531652
19h,PA14_01720,2,7,2131171
19h,PA14_01720,13,9,1992765
39h,PA14_01720,1,7,4168650
39h,PA14_01720,2,7,3587948
39h,PA14_01720,13,9,3377993
39h,PA14_01720,1,7,4363353
39h,PA14_01720,2,7,3766610
39h,PA14_01720,13,9,3475565
39h,PA14_01720,1,7,4144168
39h,PA14_01720,2,7,3634331
39h,PA14_01720,13,9,3473701
39h,PA14_01720,1,7,4448703
39h,PA14_01720,2,7,3740457
39h,PA14_01720,13,9,3529693
44h,PA14_01720,1,7,5385315
44h,PA14_01720,2,7,4300726
44h,PA14_01720,13,9,3827957
44h,PA14_01720,1,7,5292147
44h,PA14_01720,2,7,4393838
44h,PA14_01720,13,9,3993082
44h,PA14_01720,1,7,5074127
44h,PA14_01720,2,7,4232905
44h,PA14_01720,13,9,3889556
44h,PA14_01720,1,7,5645566
44h,PA14_01720,2,7,4299289
44h,PA14_01720,13,9,3930244
69h,PA14_01720,1,7,8647175
69h,PA14_01720,2,7,6505968
69h,PA14_01720,13,9,5659485
69h,PA14_01720,1,7,8782187
69h,PA14_01720,2,7,6944348
69h,PA14_01720,13,9,6601014
69h,PA14_01720,1,7,8275885
69h,PA14_01720,2,7,6392001
69h,PA14_01720,13,9,5714907
69h,PA14_01720,1,7,8585051
69h,PA14_01720,2,7,6531796
69h,PA14_01720,13,9,5623748
89h,PA14_01720,1,7,9993494
89h,PA14_01720,2,7,7758877
89h,PA14_01720,13,9,6815207
89h,PA14_01720,1,7,10556091
89h,PA14_01720,2,7,8294718
89h,PA14_01720,13,9,8089518
89h,PA14_01720,1,7,9392854
89h,PA14_01720,2,7,7728501
89h,PA14_01720,13,9,6969029
89h,PA14_01720,1,7,9712886
89h,PA14_01720,2,7,7558566
89h,PA14_01720,13,9,6631957
13h,PA14_51950,1,9,347345
13h,PA14_51950,2,9,654554
13h,PA14_51950,1,9,536092
13h,PA14_51950,2,9,536768
13h,PA14_51950,1,9,1273439
13h,PA14_51950,2,9,635709
13h,PA14_51950,1,9,1722826
13h,PA14_51950,2,9,1153847
19h,PA14_51950,1,9,2450646
19h,PA14_51950,2,9,2037367
19h,PA14_51950,1,9,2615544
19h,PA14_51950,2,9,2180039
19h,PA14_51950,1,9,2567505
19h,PA14_51950,2,9,2112763
19h,PA14_51950,1,9,2540068
19h,PA14_51950,2,9,2139258
39h,PA14_51950,1,9,4277778
39h,PA14_51950,2,9,3373027
39h,PA14_51950,1,9,5361702
39h,PA14_51950,2,9,3650458
39h,PA14_51950,1,9,4956272
39h,PA14_51950,2,9,3400213
39h,PA14_51950,1,9,4277541
39h,PA14_51950,2,9,3422241
44h,PA14_51950,1,9,6294356
44h,PA14_51950,2,9,4018932
44h,PA14_51950,1,9,6617044
44h,PA14_51950,2,9,4600915
44h,PA14_51950,1,9,5569334
44h,PA14_51950,2,9,3712328
44h,PA14_51950,1,9,6037986
44h,PA14_51950,2,9,3821242
69h,PA14_51950,1,9,9476243
69h,PA14_51950,2,9,7201930
69h,PA14_51950,1,9,9939161
69h,PA14_51950,2,9,7438858
69h,PA14_51950,1,9,9654457
69h,PA14_51950,2,9,6984767
69h,PA14_51950,1,9,9560052
69h,PA14_51950,2,9,7105753
89h,PA14_51950,1,9,11148292
89h,PA14_51950,2,9,8480897
89h,PA14_51950,1,9,11828870
89h,PA14_51950,2,9,8813447
89h,PA14_51950,1,9,11184188
89h,PA14_51950,2,9,8338922
89h,PA14_51950,1,9,10955724
89h,PA14_51950,2,9,8179609
13h,PA14_29220,1,11,932233
13h,PA14_29220,2,11,702831
13h,PA14_29220,16,14,1373728
13h,PA14_29220,1,11,637668
13h,PA14_29220,2,11,430371
13h,PA14_29220,16,14,497870
13h,PA14_29220,1,11,1870384
13h,PA14_29220,2,11,675048
13h,PA14_29220,16,14,1167204
13h,PA14_29220,1,11,1944001
13h,PA14_29220,2,11,1663973
13h,PA14_29220,16,14,771793
19h,PA14_29220,1,11,2356800
19h,PA14_29220,2,11,2231097
19h,PA14_29220,16,14,2313027
19h,PA14_29220,1,11,2802618
19h,PA14_29220,2,11,2192135
19h,PA14_29220,16,14,2428771
19h,PA14_29220,1,11,2542958
19h,PA14_29220,2,11,2217113
19h,PA14_29220,16,14,2560935
19h,PA14_29220,1,11,2657727
19h,PA14_29220,2,11,2162689
19h,PA14_29220,16,14,2676116
39h,PA14_29220,1,11,4119559
39h,PA14_29220,2,11,3745197
39h,PA14_29220,16,14,3826907
39h,PA14_29220,1,11,4526764
39h,PA14_29220,2,11,3685500
39h,PA14_29220,16,14,4697422
39h,PA14_29220,1,11,4419179
39h,PA14_29220,2,11,3771717
39h,PA14_29220,16,14,4672105
39h,PA14_29220,1,11,4509697
39h,PA14_29220,2,11,3732622
39h,PA14_29220,16,14,4535326
44h,PA14_29220,1,11,5169437
44h,PA14_29220,2,11,4289891
44h,PA14_29220,16,14,5795974
44h,PA14_29220,1,11,5139942
44h,PA14_29220,2,11,4080818
44h,PA14_29220,16,14,4893310
44h,PA14_29220,1,11,5077172
44h,PA14_29220,2,11,4274438
44h,PA14_29220,16,14,4920683
44h,PA14_29220,1,11,5185256
44h,PA14_29220,2,11,4210339
44h,PA14_29220,16,14,4759480
69h,PA14_29220,1,11,8894884
69h,PA14_29220,2,11,6472143
69h,PA14_29220,16,14,9422305
69h,PA14_29220,1,11,9352768
69h,PA14_29220,2,11,6870502
69h,PA14_29220,16,14,9697402
69h,PA14_29220,1,11,9117940
69h,PA14_29220,2,11,6416790
69h,PA14_29220,16,14,9871302
69h,PA14_29220,1,11,9024456
69h,PA14_29220,2,11,6450421
69h,PA14_29220,16,14,9676305
89h,PA14_29220,1,11,10640151
89h,PA14_29220,2,11,7918354
89h,PA14_29220,16,14,10869797
89h,PA14_29220,1,11,11127267
89h,PA14_29220,2,11,8281281
89h,PA14_29220,16,14,11165834
89h,PA14_29220,1,11,10623660
89h,PA14_29220,2,11,7628313
89h,PA14_29220,16,14,11383565
89h,PA14_29220,1,11,10347410
89h,PA14_29220,2,11,7761593
89h,PA14_29220,16,14,10866048
13h,PA14_32470,1,13,1522798
13h,PA14_32470,2,13,753638
13h,PA14_32470,1,13,560022
13h,PA14_32470,2,13,1267576
13h,PA14_32470,1,13,1848685
13h,PA14_32470,2,13,1489417
13h,PA14_32470,1,13,627045
13h,PA14_32470,2,13,1696735
19h,PA14_32470,1,13,2287267
19h,PA14_32470,2,13,2121342
19h,PA14_32470,1,13,2896741
19h,PA14_32470,2,13,2186742
19h,PA14_32470,1,13,2509346
19h,PA14_32470,2,13,2222319
19h,PA14_32470,1,13,2553207
19h,PA14_32470,2,13,2149560
39h,PA14_32470,1,13,3995621
39h,PA14_32470,2,13,3594982
39h,PA14_32470,1,13,4731372
39h,PA14_32470,2,13,3705244
39h,PA14_32470,1,13,4261188
39h,PA14_32470,2,13,3818457
39h,PA14_32470,1,13,4363553
39h,PA14_32470,2,13,3731113
44h,PA14_32470,1,13,5589172
44h,PA14_32470,2,13,4052468
44h,PA14_32470,1,13,5198932
44h,PA14_32470,2,13,4206425
44h,PA14_32470,1,13,5136072
44h,PA14_32470,2,13,4327339
44h,PA14_32470,1,13,5510727
44h,PA14_32470,2,13,4232690
69h,PA14_32470,1,13,8941656
69h,PA14_32470,2,13,6475407
69h,PA14_32470,1,13,9697127
69h,PA14_32470,2,13,6801439
69h,PA14_32470,1,13,9104307
69h,PA14_32470,2,13,6575248
69h,PA14_32470,1,13,8911972
69h,PA14_32470,2,13,6522273
89h,PA14_32470,1,13,10661648
89h,PA14_32470,2,13,7948732
89h,PA14_32470,1,13,11533110
89h,PA14_32470,2,13,8205181
89h,PA14_32470,1,13,10744951
89h,PA14_32470,2,13,7947960
89h,PA14_32470,1,13,10422207
89h,PA14_32470,2,13,7880701
13h,PA14_44230,1,15,1584313
13h,PA14_44230,2,15,1321447
13h,PA14_44230,1,15,332663
13h,PA14_44230,2,15,392822
13h,PA14_44230,1,15,1830219
13h,PA14_44230,2,15,1667907
13h,PA14_44230,1,15,1663232
13h,PA14_44230,2,15,1863326
19h,PA14_44230,1,15,2339693
19h,PA14_44230,2,15,2179586
19h,PA14_44230,1,15,2812318
19h,PA14_44230,2,15,2193161
19h,PA14_44230,1,15,2446545
19h,PA14_44230,2,15,2229053
19h,PA14_44230,1,15,2556617
19h,PA14_44230,2,15,2243239
39h,PA14_44230,1,15,4619971
39h,PA14_44230,2,15,3644273
39h,PA14_44230,1,15,4569208
39h,PA14_44230,2,15,3710516
39h,PA14_44230,1,15,4492167
39h,PA14_44230,2,15,3800608
39h,PA14_44230,1,15,4479181
39h,PA14_44230,2,15,3814607
44h,PA14_44230,1,15,5699633
44h,PA14_44230,2,15,4060314
44h,PA14_44230,1,15,5228707
44h,PA14_44230,2,15,4063259
44h,PA14_44230,1,15,5073950
44h,PA14_44230,2,15,4259369
44h,PA14_44230,1,15,5857193
44h,PA14_44230,2,15,4232813
69h,PA14_44230,1,15,8782348
69h,PA14_44230,2,15,6316973
69h,PA14_44230,1,15,9497006
69h,PA14_44230,2,15,6865326
69h,PA14_44230,1,15,8652915
69h,PA14_44230,2,15,6244808
69h,PA14_44230,1,15,8815288
69h,PA14_44230,2,15,6236341
89h,PA14_44230,1,15,10672897
89h,PA14_44230,2,15,7506952
89h,PA14_44230,1,15,11666217
89h,PA14_44230,2,15,8255731
89h,PA14_44230,1,15,10271536
89h,PA14_44230,2,15,7515949
89h,PA14_44230,1,15,10494259
89h,PA14_44230,2,15,7335635
13h,PA14_19910,1,17,859005
13h,PA14_19910,2,17,1295103
13h,PA14_19910,1,17,1394986
13h,PA14_19910,2,17,1353646
13h,PA14_19910,1,17,1664033
13h,PA14_19910,2,17,1621647
13h,PA14_19910,1,17,1868055
13h,PA14_19910,2,17,1707537
19h,PA14_19910,1,17,2403177
19h,PA14_19910,2,17,2146552
19h,PA14_19910,1,17,2127180
19h,PA14_19910,2,17,2233652
19h,PA14_19910,1,17,2510712
19h,PA14_19910,2,17,2157299
19h,PA14_19910,1,17,2613925
19h,PA14_19910,2,17,2180062
39h,PA14_19910,1,17,3920736
39h,PA14_19910,2,17,3488245
39h,PA14_19910,1,17,4689322
39h,PA14_19910,2,17,3487985
39h,PA14_19910,1,17,4126045
39h,PA14_19910,2,17,3558010
39h,PA14_19910,1,17,4185740
39h,PA14_19910,2,17,3619162
44h,PA14_19910,1,17,4435110
44h,PA14_19910,2,17,4009701
44h,PA14_19910,1,17,5320663
44h,PA14_19910,2,17,4020494
44h,PA14_19910,1,17,4720786
44h,PA14_19910,2,17,3917388
44h,PA14_19910,1,17,4773930
44h,PA14_19910,2,17,3996136
69h,PA14_19910,1,17,8304501
69h,PA14_19910,2,17,6230607
69h,PA14_19910,1,17,8707675
69h,PA14_19910,2,17,6650821
69h,PA14_19910,1,17,8199776
69h,PA14_19910,2,17,6149196
69h,PA14_19910,1,17,8279293
69h,PA14_19910,2,17,6095802
89h,PA14_19910,1,17,10004683
89h,PA14_19910,2,17,7520649
89h,PA14_19910,1,17,10832482
89h,PA14_19910,2,17,7897912
89h,PA14_19910,1,17,9726495
89h,PA14_19910,2,17,7221606
89h,PA14_19910,1,17,9547342
89h,PA14_19910,2,17,7065594
13h,PA14_29320,1,19,984457
13h,PA14_29320,2,19,689492
13h,PA14_29320,6,18,1459197
13h,PA14_29320,1,19,493747
13h,PA14_29320,2,19,1482540
13h,PA14_29320,6,18,1220226
13h,PA14_29320,1,19,1754519
13h,PA14_29320,2,19,1614780
13h,PA14_29320,6,18,1454584
13h,PA14_29320,1,19,1870526
13h,PA14_29320,2,19,1282929
13h,PA14_29320,6,18,1574292
19h,PA14_29320,1,19,2242691
19h,PA14_29320,2,19,2144815
19h,PA14_29320,6,18,1863966
19h,PA14_29320,1,19,2654546
19h,PA14_29320,2,19,2167279
19h,PA14_29320,6,18,1912277
19h,PA14_29320,1,19,2303142
19h,PA14_29320,2,19,2170950
19h,PA14_29320,6,18,1841182
19h,PA14_29320,1,19,2448092
19h,PA14_29320,2,19,2130680
19h,PA14_29320,6,18,1897100
39h,PA14_29320,1,19,4085433
39h,PA14_29320,2,19,3617018
39h,PA14_29320,6,18,3211542
39h,PA14_29320,1,19,4385203
39h,PA14_29320,2,19,3693275
39h,PA14_29320,6,18,3238037
39h,PA14_29320,1,19,4709603
39h,PA14_29320,2,19,3660356
39h,PA14_29320,6,18,3253783
39h,PA14_29320,1,19,4245760
39h,PA14_29320,2,19,3617950
39h,PA14_29320,6,18,3263443
44h,PA14_29320,1,19,5722898
44h,PA14_29320,2,19,4155072
44h,PA14_29320,6,18,3691154
44h,PA14_29320,1,19,5883963
44h,PA14_29320,2,19,4016243
44h,PA14_29320,6,18,3779634
44h,PA14_29320,1,19,5660739
44h,PA14_29320,2,19,4109164
44h,PA14_29320,6,18,3660098
44h,PA14_29320,1,19,5842591
44h,PA14_29320,2,19,4074257
44h,PA14_29320,6,18,3733032
69h,PA14_29320,1,19,8926979
69h,PA14_29320,2,19,6512913
69h,PA14_29320,6,18,5474226
69h,PA14_29320,1,19,9408211
69h,PA14_29320,2,19,6961587
69h,PA14_29320,6,18,6180062
69h,PA14_29320,1,19,9123193
69h,PA14_29320,2,19,6564887
69h,PA14_29320,6,18,5582819
69h,PA14_29320,1,19,9087501
69h,PA14_29320,2,19,6651324
69h,PA14_29320,6,18,5547773
89h,PA14_29320,1,19,10622433
89h,PA14_29320,2,19,7832693
89h,PA14_29320,6,18,6698318
89h,PA14_29320,1,19,11314890
89h,PA14_29320,2,19,8334811
89h,PA14_29320,6,18,7723424
89h,PA14_29320,1,19,10617701
89h,PA14_29320,2,19,7865143
89h,PA14_29320,6,18,6578954
89h,PA14_29320,1,19,10390345
89h,PA14_29320,2,19,7963337
89h,PA14_29320,6,18,6560875
13h,PA14_41530,1,21,932406
13h,PA14_41530,2,21,851811
13h,PA14_41530,2,12,682686
13h,PA14_41530,1,21,1625506
13h,PA14_41530,2,21,1599685
13h,PA14_41530,2,12,1441727
13h,PA14_41530,1,21,1741938
13h,PA14_41530,2,21,1860133
13h,PA14_41530,2,12,571900
13h,PA14_41530,1,21,1860274
13h,PA14_41530,2,21,1819202
13h,PA14_41530,2,12,1600077
19h,PA14_41530,1,21,2312747
19h,PA14_41530,2,21,2146925
19h,PA14_41530,2,12,2076709
19h,PA14_41530,1,21,2628898
19h,PA14_41530,2,21,2292929
19h,PA14_41530,2,12,2083194
19h,PA14_41530,1,21,2319276
19h,PA14_41530,2,21,2254465
19h,PA14_41530,2,12,2092011
19h,PA14_41530,1,21,2445070
19h,PA14_41530,2,21,2254766
19h,PA14_41530,2,12,2098420
39h,PA14_41530,1,21,4370046
39h,PA14_41530,2,21,3643119
39h,PA14_41530,2,12,3393501
39h,PA14_41530,1,21,5088806
39h,PA14_41530,2,21,3734281
39h,PA14_41530,2,12,3408840
39h,PA14_41530,1,21,4822260
39h,PA14_41530,2,21,3792129
39h,PA14_41530,2,12,3496016
39h,PA14_41530,1,21,4804301
39h,PA14_41530,2,21,3785843
39h,PA14_41530,2,12,3513914
44h,PA14_41530,1,21,6168425
44h,PA14_41530,2,21,4151908
44h,PA14_41530,2,12,3848598
44h,PA14_41530,1,21,5709876
44h,PA14_41530,2,21,4246894
44h,PA14_41530,2,12,3889068
44h,PA14_41530,1,21,5641073
44h,PA14_41530,2,21,4194397
44h,PA14_41530,2,12,4185663
44h,PA14_41530,1,21,5873180
44h,PA14_41530,2,21,4189909
44h,PA14_41530,2,12,3905905
69h,PA14_41530,1,21,9335660
69h,PA14_41530,2,21,6620376
69h,PA14_41530,2,12,6862962
69h,PA14_41530,1,21,9717388
69h,PA14_41530,2,21,7200833
69h,PA14_41530,2,12,7396375
69h,PA14_41530,1,21,9271934
69h,PA14_41530,2,21,6919242
69h,PA14_41530,2,12,6687500
69h,PA14_41530,1,21,9455427
69h,PA14_41530,2,21,6814003
69h,PA14_41530,2,12,6746107
89h,PA14_41530,1,21,11216720
89h,PA14_41530,2,21,7922154
89h,PA14_41530,2,12,8326804
89h,PA14_41530,1,21,11403595
89h,PA14_41530,2,21,8681221
89h,PA14_41530,2,12,9000147
89h,PA14_41530,1,21,11016858
89h,PA14_41530,2,21,8215470
89h,PA14_41530,2,12,8115321
89h,PA14_41530,1,21,10387295
89h,PA14_41530,2,21,7780953
89h,PA14_41530,2,12,8127370
13h,PA14_43270,1,23,1723435
13h,PA14_43270,2,23,1861448
13h,PA14_43270,4,7,1620057
13h,PA14_43270,1,23,1954519
13h,PA14_43270,2,23,1973766
13h,PA14_43270,4,7,1365233
13h,PA14_43270,1,23,1760987
13h,PA14_43270,2,23,1964576
13h,PA14_43270,4,7,1508637
13h,PA14_43270,1,23,2058823
13h,PA14_43270,2,23,1879940
13h,PA14_43270,4,7,1535320
19h,PA14_43270,1,23,2323183
19h,PA14_43270,2,23,2273148
19h,PA14_43270,4,7,2172844
19h,PA14_43270,1,23,2576089
19h,PA14_43270,2,23,2502614
19h,PA14_43270,4,7,1946365
19h,PA14_43270,1,23,2414654
19h,PA14_43270,2,23,2322284
19h,PA14_43270,4,7,2069147
19h,PA14_43270,1,23,2537956
19h,PA14_43270,2,23,2294814
19h,PA14_43270,4,7,2050095
39h,PA14_43270,1,23,5273847
39h,PA14_43270,2,23,3927717
39h,PA14_43270,4,7,4227146
39h,PA14_43270,1,23,5111785
39h,PA14_43270,2,23,4080235
39h,PA14_43270,4,7,4669455
39h,PA14_43270,1,23,4937962
39h,PA14_43270,2,23,3893940
39h,PA14_43270,4,7,4129385
39h,PA14_43270,1,23,5152128
39h,PA14_43270,2,23,3788337
39h,PA14_43270,4,7,4063277
44h,PA14_43270,1,23,6313201
44h,PA14_43270,2,23,4805449
44h,PA14_43270,4,7,4915942
44h,PA14_43270,1,23,5913623
44h,PA14_43270,2,23,4783338
44h,PA14_43270,4,7,5336292
44h,PA14_43270,1,23,6232594
44h,PA14_43270,2,23,4386474
44h,PA14_43270,4,7,4712425
44h,PA14_43270,1,23,6566244
44h,PA14_43270,2,23,4417398
44h,PA14_43270,4,7,4632132
69h,PA14_43270,1,23,9790626
69h,PA14_43270,2,23,7839573
69h,PA14_43270,4,7,6573481
69h,PA14_43270,1,23,10012777
69h,PA14_43270,2,23,8094989
69h,PA14_43270,4,7,7703216
69h,PA14_43270,1,23,9905810
69h,PA14_43270,2,23,7549550
69h,PA14_43270,4,7,6260809
69h,PA14_43270,1,23,10154009
69h,PA14_43270,2,23,7670077
69h,PA14_43270,4,7,6107887
89h,PA14_43270,1,23,11914609
89h,PA14_43270,2,23,9299699
89h,PA14_43270,4,7,7539407
89h,PA14_43270,1,23,11864861
89h,PA14_43270,2,23,9676317
89h,PA14_43270,4,7,8877016
89h,PA14_43270,1,23,11423912
89h,PA14_43270,2,23,8581449
89h,PA14_43270,4,7,7105575
89h,PA14_43270,1,23,11932458
89h,PA14_43270,2,23,8646924
89h,PA14_43270,4,7,6827797
13h,PA14_56640,3,1,908256
13h,PA14_56640,4,1,643058
13h,PA14_56640,15,19,1722806
13h,PA14_56640,3,1,875737
13h,PA14_56640,4,1,664883
13h,PA14_56640,15,19,1366859
13h,PA14_56640,3,1,528394
13h,PA14_56640,4,1,337433
13h,PA14_56640,15,19,1785139
13h,PA14_56640,3,1,867253
13h,PA14_56640,4,1,904069
13h,PA14_56640,15,19,1798691
19h,PA14_56640,3,1,2150770
19h,PA14_56640,4,1,2204351
19h,PA14_56640,15,19,2057207
19h,PA14_56640,3,1,2274028
19h,PA14_56640,4,1,2379209
19h,PA14_56640,15,19,2094091
19h,PA14_56640,3,1,2284806
19h,PA14_56640,4,1,2274896
19h,PA14_56640,15,19,2127071
19h,PA14_56640,3,1,2371509
19h,PA14_56640,4,1,2327201
19h,PA14_56640,15,19,2125335
39h,PA14_56640,3,1,4225343
39h,PA14_56640,4,1,3778850
39h,PA14_56640,15,19,3466990
39h,PA14_56640,3,1,3926110
39h,PA14_56640,4,1,4089115
39h,PA14_56640,15,19,3706741
39h,PA14_56640,3,1,4109017
39h,PA14_56640,4,1,4014199
39h,PA14_56640,15,19,3668922
39h,PA14_56640,3,1,4066208
39h,PA14_56640,4,1,4056926
39h,PA14_56640,15,19,3733225
44h,PA14_56640,3,1,4663732
44h,PA14_56640,4,1,4880797
44h,PA14_56640,15,19,4171540
44h,PA14_56640,3,1,4969831
44h,PA14_56640,4,1,4387707
44h,PA14_56640,15,19,3902475
44h,PA14_56640,3,1,4571775
44h,PA14_56640,4,1,4381023
44h,PA14_56640,15,19,4288844
44h,PA14_56640,3,1,4537720
44h,PA14_56640,4,1,4248830
44h,PA14_56640,15,19,4139176
69h,PA14_56640,3,1,8378086
69h,PA14_56640,4,1,8413470
69h,PA14_56640,15,19,7092287
69h,PA14_56640,3,1,8998241
69h,PA14_56640,4,1,9005360
69h,PA14_56640,15,19,7720400
69h,PA14_56640,3,1,8582776
69h,PA14_56640,4,1,8519819
69h,PA14_56640,15,19,7141603
69h,PA14_56640,3,1,8597066
69h,PA14_56640,4,1,8508174
69h,PA14_56640,15,19,7055366
89h,PA14_56640,3,1,10029733
89h,PA14_56640,4,1,9889180
89h,PA14_56640,15,19,8383366
89h,PA14_56640,3,1,10762594
89h,PA14_56640,4,1,10735724
89h,PA14_56640,15,19,9006665
89h,PA14_56640,3,1,10327845
89h,PA14_56640,4,1,9671673
89h,PA14_56640,15,19,8269032
89h,PA14_56640,3,1,10052441
89h,PA14_56640,4,1,10062868
89h,PA14_56640,15,19,7996395
13h,PA14_16130,3,3,951923
13h,PA14_16130,4,3,958206
13h,PA14_16130,8,1,821897
13h,PA14_16130,7,3,730301
13h,PA14_16130,3,3,569331
13h,PA14_16130,4,3,580026
13h,PA14_16130,8,1,573937
13h,PA14_16130,7,3,562941
13h,PA14_16130,3,3,589492
13h,PA14_16130,4,3,542992
13h,PA14_16130,8,1,722656
13h,PA14_16130,7,3,545389
13h,PA14_16130,3,3,1037824
13h,PA14_16130,4,3,1464512
13h,PA14_16130,8,1,902234
13h,PA14_16130,7,3,1605905
19h,PA14_16130,3,3,1964591
19h,PA14_16130,4,3,1956270
19h,PA14_16130,8,1,2119665
19h,PA14_16130,7,3,1852194
19h,PA14_16130,3,3,2060429
19h,PA14_16130,4,3,2209055
19h,PA14_16130,8,1,2251260
19h,PA14_16130,7,3,2000097
19h,PA14_16130,3,3,1957684
19h,PA14_16130,4,3,1957447
19h,PA14_16130,8,1,2163375
19h,PA14_16130,7,3,1944145
19h,PA14_16130,3,3,1982220
19h,PA14_16130,4,3,1949767
19h,PA14_16130,8,1,2322596
19h,PA14_16130,7,3,2002995
39h,PA14_16130,3,3,3412686
39h,PA14_16130,4,3,3347192
39h,PA14_16130,8,1,4309462
39h,PA14_16130,7,3,3312028
